iter	Passed	Remaining
854	13064	63336
855	13079	63321
856	13094	63302
857	13110	63290
858	13125	63276
859	13139	63254
860	13155	63240
861	13169	63219
862	13183	63199
863	13197	63177
864	13213	63165
865	13227	63143
866	13241	63120
867	13255	63101
868	13270	63083
869	13284	63064
870	13297	63038
871	13313	63023
872	13328	63009
873	13341	62983
874	13357	62970
875	13371	62948
876	13385	62926
877	13397	62899
878	13411	62878
879	13425	62854
880	13437	62827
881	13452	62807
882	13465	62780
883	13477	62753
884	13491	62730
885	13504	62703
886	13518	62683
887	13530	62656
888	13544	62635
889	13558	62611
890	13571	62588
891	13584	62563
892	13598	62540
893	13611	62514
894	13624	62491
895	13638	62469
896	13652	62448
897	13668	62435
898	13682	62417
899	13696	62394
900	13711	62379
901	13724	62353
902	13736	62324
903	13754	62320
904	13771	62312
905	13785	62293
906	13801	62279
907	13815	62260
908	13828	62237
909	13851	62254
910	13869	62251
911	13886	62246
912	13903	62239
913	13918	62220
914	13933	62206
915	13947	62185
916	13968	62195
917	13983	62181
918	13999	62167
919	14013	62148
920	14026	62123
921	14040	62103
922	14056	62090
923	14068	62061
924	14083	62043
925	14098	62025
926	14112	62008
927	14125	61983
928	14140	61964
929	14153	61939
930	14167	61921
931	14180	61896
932	14196	61882
933	14214	61880
934	14229	61864
935	14242	61840
936	14258	61826
937	14272	61805
938	14285	61784
939	14300	61764
940	14316	61754
941	14330	61731
942	14346	61720
943	14359	61696
944	14373	61674
945	14386	61650
946	14399	61626
947	14412	61602
948	14427	61586
949	14441	61567
950	14455	61546
951	14468	61520
952	14482	61502
953	14495	61475
954	14507	61448
955	14520	61425
956	14534	61404
957	14549	61386
958	14562	61363
959	14576	61342
960	14592	61329
961	14604	61301
962	14619	61284
963	14631	61256
964	14645	61239
965	14664	61237
966	14677	61216
967	14691	61194
968	14707	61181
969	14722	61166
970	14737	61148
971	14749	61123
972	14766	61114
973	14778	61088
974	14793	61072
975	14808	61053
976	14824	61041
977	14838	61021
978	14852	61003
979	14867	60988
980	14881	60968
981	14895	60947
982	14910	60931
983	14924	60910
984	14940	60898
985	14954	60880
986	14968	60860
987	14983	60843
988	14998	60829
989	15012	60808
990	15026	60787
991	15041	60771
992	15056	60756
993	15070	60735
994	15085	60722
995	15100	60705
996	15114	60686
997	15128	60664
998	15141	60642
999	15155	60620
1000	15171	60610
1001	15187	60597
1002	15200	60576
1003	15215	60556
1004	15230	60542
1005	15245	60525
1006	15260	60510
1007	15272	60485
1008	15288	60471
1009	15301	60448
1010	15315	60429
1011	15330	60414
1012	15344	60391
1013	15357	60368
1014	15370	60345
1015	15385	60331
1016	15399	60312
1017	15422	60326
1018	15453	60372
1019	15480	60403
1020	15493	60381
1021	15506	60356
1022	15519	60333
1023	15532	60309
1024	15545	60286
1025	15559	60266
1026	15573	60247
1027	15586	60222
1028	15599	60199
1029	15612	60177
1030	15628	60163
1031	15642	60143
1032	15661	60142
1033	15674	60120
1034	15689	60103
1035	15702	60081
1036	15717	60064
1037	15732	60049
1038	15746	60031
1039	15763	60021
1040	15777	60004
1041	15791	59982
1042	15806	59967
1043	15820	59946
1044	15835	59930
1045	15849	59912
1046	15864	59898
1047	15879	59882
1048	15893	59861
1049	15907	59843
1050	15922	59827
1051	15937	59809
1052	15951	59789
1053	15964	59768
1054	15979	59754
1055	15994	59735
1056	16007	59715
1057	16022	59696
1058	16036	59679
1059	16051	59663
1060	16066	59646
1061	16080	59629
1062	16095	59613
1063	16110	59596
1064	16125	59581
1065	16139	59561
1066	16154	59545
1067	16166	59520
1068	16180	59500
1069	16194	59480
1070	16209	59465
1071	16222	59441
1072	16239	59432
1073	16252	59411
1074	16265	59388
1075	16279	59369
1076	16293	59349
1077	16306	59327
1078	16322	59313
1079	16334	59289
1080	16348	59269
1081	16362	59249
1082	16375	59228
1083	16387	59202
1084	16409	59211
1085	16433	59228
1086	16454	59231
1087	16470	59222
1088	16517	59320
1089	16592	59519
1090	16684	59777
1091	16699	59763
1092	16714	59746
1093	16728	59728
1094	16742	59706
1095	16756	59687
1096	16772	59673
1097	16785	59649
1098	16798	59626
1099	16810	59601
1100	16826	59586
1101	16841	59570
1102	16855	59551
1103	16870	59534
1104	16884	59514
1105	16897	59493
